Date,Portfolio,VGT
7/1/2019,0.004444803,0.014654168
7/2/2019,0.006051401,0.00294545
7/3/2019,0.007732738,0.007175581
7/5/2019,-0.002350169,-0.001530835
7/8/2019,-0.002427245,-0.007412815
7/9/2019,0.00178333,0.003780672
7/10/2019,0.003345425,0.007674533
7/11/2019,-0.001008618,0.003325674
7/12/2019,0.003457924,0.008001546
7/15/2019,0.000978893,0.002463857
7/16/2019,-0.00193249,-0.008468417
7/17/2019,0.000699986,-0.002430567
7/18/2019,0.00601798,0.00708709
7/19/2019,-0.005559704,-0.005438722
7/22/2019,0.001078304,0.010845223
7/23/2019,0.002986305,0.005681954
7/24/2019,0.005600712,0.009353116
7/25/2019,-0.001613949,-0.007074484
7/26/2019,0.002945691,0.006944872
7/29/2019,-0.000441958,-0.001566639
7/30/2019,-0.004793597,-0.006054923
7/31/2019,-0.01035478,-0.014577674
8/1/2019,7.97E-05,-0.005036947
8/2/2019,-0.004900351,-0.018644502
8/5/2019,-0.02215995,-0.041086711
8/6/2019,0.013528723,0.014623218
8/7/2019,0.009613912,0.006846679
8/8/2019,0.016214146,0.024756061
8/9/2019,-0.002568079,-0.011401675
8/12/2019,-0.009604815,-0.013280773
8/13/2019,0.009016439,0.024046009
8/14/2019,-0.019117164,-0.030733627
8/15/2019,0.00615292,-0.001977006
8/16/2019,0.009431767,0.017985758
8/19/2019,0.012274042,0.014774048
8/20/2019,-0.00254262,-0.004444882
8/21/2019,0.00660584,0.011566803
8/22/2019,-0.000851953,-0.002372838
8/23/2019,-0.016119379,-0.031913748
8/26/2019,0.008024037,0.012658548
8/27/2019,0.003220012,-0.002471108
8/28/2019,0.00222481,0.000475428
8/29/2019,0.003316009,0.017617487
8/30/2019,0.000352284,-0.000653765
9/3/2019,0.000717552,-0.012316531
9/4/2019,0.006888013,0.017305777
9/5/2019,-0.002858819,0.020227634
9/6/2019,-0.001348512,-0.001420298
9/9/2019,-0.014249918,-0.0076834
9/10/2019,-0.013384023,-0.004977919
9/11/2019,0.00292194,0.010283039
9/12/2019,0.003977111,0.004677332
9/13/2019,-0.007033285,-0.007072034
9/16/2019,0.002796987,-0.00096575
9/17/2019,0.010130952,0.003586395
9/18/2019,-0.00145006,0.000553857
9/19/2019,0.002543404,0.002243081
9/20/2019,0.000486047,-0.010604372
9/23/2019,0.003791943,0.002213506
9/24/2019,-0.000117964,-0.011294947
9/25/2019,-0.001348419,0.011938354
9/26/2019,0.001944847,0.000943995
9/27/2019,-0.010127744,-0.014514132
9/30/2019,0.001476866,0.010929364
10/1/2019,-0.00549479,-0.009000437
10/2/2019,-0.005963346,-0.018722812
10/3/2019,0.00742669,0.012924708
10/4/2019,0.010545172,0.016909558
