

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
         13    TPR    -0.4951        -19.2755      0.0257
         13    RJF    -0.3474        -19.8049      0.0175
         13     SF    -0.4782        -21.3221      0.0224
         13      C    -0.4736        -22.0923      0.0214
         13     GS    -0.5431        -23.4597      0.0231
         13    CMA    -0.4425        -23.6595      0.0187
         13    CCL    -0.7756        -23.6716      0.0328
         13    CFG    -0.5222        -28.5356      0.0183
         13     RL    -0.7629        -28.7583      0.0265
         13    JEF    -0.7447        -28.8015      0.0259
         13    BSY    -0.5920        -30.4179      0.0195
         13   ADSK    -0.6618        -36.2004      0.0183
         13   NCLH    -1.1138        -36.5728      0.0305
         13    PNR    -0.6873        -42.6642      0.0161
         13    XPO    -1.0049        -48.4470      0.0207
         13   DECK    -1.4043        -54.2717      0.0259
         13   CPRT    -0.6941        -73.9644      0.0094
         14   PHYS     1.5391        207.8564      0.0074
         14   GLDM     1.4823        177.7048      0.0083
         14   SGOL     1.4789        176.5683      0.0084
         14    IAU     1.4677        175.0791      0.0084
         14    GLD     1.4713        174.2115      0.0084
         14    WPM     1.8134        122.9768      0.0147
         14    AEM     1.5933         88.5726      0.0180
         14    GDX     1.5897         84.7452      0.0188
         14    AGI     1.8133         84.5064      0.0215
         14    SLV     1.0169         77.5542      0.0131
         14   GDXJ     1.6231         68.3559      0.0237
         14    NEM     1.3580         59.1288      0.0230
         14   GOLD     0.9273         52.4491      0.0177
         14   PAAS     1.2867         47.7099      0.0270
         14     AU     1.0184         41.8865      0.0243
         14    GFI     0.9176         36.6359      0.0250
         14    KGC     0.8277         29.6531      0.0279
         14    HMY     1.0365         29.5321      0.0351
         14   INTC     1.3316         25.0879      0.0531
         14   FSLR    -0.9216        -26.2247      0.0351
         15    PWR     0.4262         14.6369      0.0291
         15    TLN     0.5564          9.8059      0.0567
         15   NVDA     0.3776          9.0729      0.0416
         15   NVDL     0.6397          7.7343      0.0827
         15    NRG     0.1542          3.7893      0.0407
         15    ETN     0.0304          1.1186      0.0272
         15   CRWD    -0.0865         -1.9456      0.0444
         15   AVGO    -0.1089         -2.7665      0.0394
         15   CRDO    -0.2534         -3.1562      0.0803
